Profile Summary
Generated on: 2022-01-01 18:43:24
Msec since Epoch: 1641080604220
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20569,513.957,0.009881,0.024987,0.414989,
clCreateCommandQueue,1,0.008758,0.008758,0.008758,0.008758,
clCreateContext,1,43.3021,43.3021,43.3021,43.3021,
clCreateKernel,1,26.1026,26.1026,26.1026,26.1026,
clCreateProgramWithBinary,1,274.724,274.724,274.724,274.724,
clEnqueueMigrateMemObjects,4112,29.3802,0.003106,0.007145,0.035904,
clEnqueueTask,4112,290.477,0.028886,0.0706414,21.525,
clFinish,4112,3419.69,0.449615,0.831638,2.74558,
clGetDeviceIDs,5,0.095983,0.001656,0.0191966,0.078694,
clGetDeviceInfo,2,17.4717,0.004477,8.73584,17.4672,
clGetExtensionFunctionAddress,2,0.039693,0.005753,0.0198465,0.03394,
clGetExtensionFunctionAddressForPlatform,2,0.014949,0.002383,0.0074745,0.012566,
clGetPlatformInfo,6,0.016612,0.001213,0.00276867,0.00837,
clReleaseCommandQueue,1,0.0094,0.0094,0.0094,0.0094,
clReleaseContext,1,44.0492,44.0492,44.0492,44.0492,
clReleaseDevice,5,0.024,0.001112,0.0048,0.014267,
clReleaseKernel,1,3.15514,3.15514,3.15514,3.15514,
clReleaseMemObject,28793,62.2145,0.000727,0.00216075,0.29981,
clReleaseProgram,1,0.004827,0.004827,0.004827,0.004827,
clRetainDevice,5,0.014239,0.000827,0.0028478,0.006196,
clRetainMemObject,8224,20.7662,0.000771,0.00252507,0.162844,
clSetKernelArg,20569,177.686,0.000849,0.00863855,5.63947,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,4112,2593.92,0.327882,0.630818,2.50193,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4946.83,2.50193,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,853.677,2.2401,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2212.07,1.8552,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4951.15,1.80638,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5540.82,1.69286,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4202.29,1.68586,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6513.99,1.63552,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,11266.5,1.57422,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,11262.6,1.56858,1:1:1,1:1:1,
94641511914896,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,11270.8,1.53733,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,853.275,0.36879,918.84,338.859,
974848,0,0,6354.66,0.251766,17.216,4.3344,
974848,0,0,9693.35,0.197137,17.216,3.39391,
946176,0,0,9200.91,0.194767,17.216,3.35311,
974848,0,0,8888.18,0.193288,17.216,3.32765,
946176,0,0,5708.89,0.191804,17.216,3.3021,
946176,0,0,6337.02,0.188441,17.216,3.2442,
974848,0,0,9632.94,0.187534,17.216,3.22859,
946176,0,0,9089.36,0.185187,17.216,3.18818,
974848,0,0,9651.63,0.184277,17.216,3.17251,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,9367.61,0.145727,0.004,0.000582908,
946176,0,0,9457.45,0.141663,0.004,0.000566652,
946176,0,0,8173.5,0.136766,0.004,0.000547064,
946176,0,0,9207.68,0.129033,0.004,0.000516132,
946176,0,0,10913,0.12669,0.004,0.00050676,
946176,0,0,10814.6,0.125243,0.004,0.000500972,
974848,0,0,9789.34,0.120187,0.004,0.000480748,
974848,0,0,8628.95,0.117347,0.004,0.000469388,
974848,0,0,7969.76,0.115937,0.004,0.000463748,
946176,0,0,10709,0.11565,0.004,0.0004626,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4112,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94641511918496,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,221.162,
BUFFER_WR_ACTIVE_TIME_MS,all,486.215,
BUFFER_TX_ACTIVE_TIME_MS,all,11520.2,
APPLICATION_RUN_TIME_MS,all,14726.7,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
