Dataset name,Graph count,Batch size,Batch count,Model name,Run time (average of 5 trials),Average run time per batch,Average run time per graph
ogbg-molhiv,4113,1,4113,gin,11.41597502008081,0.002775583520564262,0.002775583520564262
ogbg-molhiv,4113,1,4113,gin-virtual-node,17.18007269874213,0.004177017432225171,0.004177017432225171
ogbg-molhiv,4113,1,4113,gcn,14.693705803528433,0.0035725032345072776,0.0035725032345072776
ogbg-molhiv,4113,1,4113,gat,9.510922022629526,0.002312405062637862,0.002312405062637862
ogbg-molhiv,4113,1,4113,pna,22.038597802724748,0.0053582780945112445,0.0053582780945112445
dgn-hiv,4113,1,4113,dgn-hiv,64.60476876082828,0.015707456542870965,0.015707456542870965
ogbg-molpcba,43793,1,43793,gin,120.16062574647408,0.002743831793813488,0.002743831793813488
ogbg-molpcba,43793,1,43793,gin-virtual-node,180.14377514161237,0.00411352899188483,0.00411352899188483
ogbg-molpcba,43793,1,43793,gcn,154.31488903854006,0.003523734136472497,0.003523734136472497
ogbg-molpcba,43793,1,43793,gat,100.74085404556186,0.0023003871405375713,0.0023003871405375713
ogbg-molpcba,43793,1,43793,pna,233.99387448886552,0.005343179834422522,0.005343179834422522
dgn-pcba,43773,1,43773,dgn-pcba,661.6529725812122,0.015115550055541367,0.015115550055541367
ogbg-molhiv-batch16,4113,16,258,gin,0.9330023371614513,0.003616288128532757,0.0002268422896089111
ogbg-molhiv-batch16,4113,16,258,gin-virtual-node,1.3672032158821819,0.00529923727086117,0.00033241021538589396
ogbg-molhiv-batch16,4113,16,258,gcn,1.1349333129823214,0.004398966329388842,0.00027593807755466114
ogbg-molhiv-batch16,4113,16,258,gat,0.6866718951612714,0.0026615189734932997,0.00016695159133510123
ogbg-molhiv-batch16,4113,16,258,pna,1.5605535157956185,0.0060486570379675135,0.0003794197704341402
dgn-hiv-batch16,4113,16,258,dgn-hiv,5.504994044359773,0.021337186218448732,0.0013384376475467476
ogbg-molpcba-batch16,43793,16,2738,gin,9.958316820021711,0.003637076997816549,0.0002273951732016923
ogbg-molpcba-batch16,43793,16,2738,gin-virtual-node,14.615718653332461,0.005338100311662696,0.00033374554502620194
ogbg-molpcba-batch16,43793,16,2738,gcn,12.50708648227156,0.004567964383590781,0.0002855955628130423
ogbg-molpcba-batch16,43793,16,2738,gat,7.412569986749435,0.0027072936401568424,0.00016926380898201618
ogbg-molpcba-batch16,43793,16,2738,pna,16.598887517116946,0.006062413264104071,0.0003790306103056869
ogbg-molhiv-batch256,4113,256,17,gin,0.061678259354084726,0.0036281329031814546,1.4995929821075791e-05
ogbg-molhiv-batch256,4113,256,17,gin-virtual-node,0.09683268601074814,0.00569604035357342,2.354307950662488e-05
ogbg-molhiv-batch256,4113,256,17,gcn,0.08196308473125101,0.004821357925367706,1.9927810535193536e-05
ogbg-molhiv-batch256,4113,256,17,gat,2.2989245946519077,0.13523085850893574,0.0005589410636158297
ogbg-molhiv-batch256,4113,256,17,pna,0.1028275515884161,0.0060486795052009466,2.500062037160615e-05
dgn-hiv-batch256,4113,256,17,dgn-hiv,0.5010537113063037,0.02947374772390022,0.00012182195752645362
ogbg-molpcba-batch256,43793,256,172,gin,0.6325109131634237,0.003677389030019905,1.4443196701834166e-05
ogbg-molpcba-batch256,43793,256,172,gin-virtual-node,0.9340216020122166,0.005430358151233818,2.1328102710757806e-05
ogbg-molpcba-batch256,43793,256,172,gcn,0.8006592996418473,0.004654995928150275,1.828281459689556e-05
ogbg-molpcba-batch256,43793,256,172,gat,28.490820995438856,0.16564430811301661,0.0006505793390596409
ogbg-molpcba-batch256,43793,256,172,pna,1.0558870956301685,0.0061388784629660955,2.4110864650290424e-05
