Profile Summary
Generated on: 2022-01-16 12:52:04
Msec since Epoch: 1642355524231
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20571,646.05,0.012693,0.0314058,2.87406,
clCreateCommandQueue,1,0.007598,0.007598,0.007598,0.007598,
clCreateContext,1,43.0514,43.0514,43.0514,43.0514,
clCreateKernel,1,7.59193,7.59193,7.59193,7.59193,
clCreateProgramWithBinary,1,118.961,118.961,118.961,118.961,
clEnqueueMigrateMemObjects,4112,33.0534,0.00346,0.00803827,0.036593,
clEnqueueTask,4112,320.429,0.038729,0.0779254,21.1988,
clFinish,4112,8308.78,0.899463,2.02062,10.1478,
clGetDeviceIDs,5,0.095141,0.001877,0.0190282,0.078374,
clGetDeviceInfo,2,17.883,0.002529,8.94149,17.8804,
clGetExtensionFunctionAddress,2,0.038813,0.006073,0.0194065,0.03274,
clGetExtensionFunctionAddressForPlatform,2,0.01448,0.00242,0.00724,0.01206,
clGetPlatformInfo,6,0.014495,0.00118,0.00241583,0.005527,
clReleaseCommandQueue,1,0.007034,0.007034,0.007034,0.007034,
clReleaseContext,1,48.6772,48.6772,48.6772,48.6772,
clReleaseDevice,5,0.014768,0.001561,0.0029536,0.005594,
clReleaseKernel,1,4.21536,4.21536,4.21536,4.21536,
clReleaseMemObject,28795,65.6665,0.000845,0.00228048,0.316001,
clReleaseProgram,1,0.003191,0.003191,0.003191,0.003191,
clRetainDevice,5,0.013732,0.001163,0.0027464,0.006667,
clRetainMemObject,8224,25.1928,0.000956,0.00306332,0.153813,
clSetKernelArg,20571,210.393,0.00096,0.0102276,6.53371,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GCN_compute_one_graph,4112,7176.99,0.682131,1.74538,9.6522,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6495.32,9.6522,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,463.109,9.57862,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6507.6,7.03088,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5379.65,6.60319,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2371.42,6.53584,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,7370.84,6.34784,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,8778.67,6.0002,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,12274.5,5.93303,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,10981.1,5.88835,1:1:1,1:1:1,
93955354378864,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,15697.8,5.84601,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
385024,0,0,9108.38,3.97363,17.216,68.41,
385024,0,0,1780.54,2.46932,17.216,42.5118,
385024,0,0,1770.12,2.10863,17.216,36.3021,
356352,0,0,2240.66,0.931303,17.216,16.0333,
385024,0,0,4241.98,0.721332,17.216,12.4185,
327680,0,0,462.636,0.425731,324.82,138.286,
356352,0,0,1289.61,0.264847,17.216,4.55961,
356352,0,0,11003.7,0.245454,17.216,4.22574,
385024,0,0,635.655,0.245394,17.216,4.2247,
356352,0,0,15003.6,0.238731,17.216,4.10999,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
385024,0,0,2037.45,1.26061,0.004,0.00504243,
385024,0,0,3978.06,0.445208,0.004,0.00178083,
356352,0,0,1805.71,0.16783,0.004,0.00067132,
385024,0,0,17265.3,0.159344,0.004,0.000637376,
356352,0,0,16855.3,0.155286,0.004,0.000621144,
356352,0,0,17253.6,0.153204,0.004,0.000612816,
356352,0,0,555.541,0.150834,0.004,0.000603336,
385024,0,0,979.47,0.149104,0.004,0.000596416,
356352,0,0,14756.9,0.147563,0.004,0.000590252,
356352,0,0,13553.2,0.147187,0.004,0.000588748,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4112,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GCN_compute_one_graph,1,
COMMAND_QUEUE_OOO,93955354378624,0,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|convs_weight_in|HBM[0]|1,200000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|convs_bias_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|convs_root_emb_weight_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|bn_weigh_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|bn_bias_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|bn_mean_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|bn_var_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|node_embedding_weight_in|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|edge_embedding_weight_in|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|graph_pred_weights_in|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|graph_pred_bias_in|HBM[0]|1,4,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,339.215,
BUFFER_WR_ACTIVE_TIME_MS,all,620.108,
BUFFER_TX_ACTIVE_TIME_MS,all,16848.4,
APPLICATION_RUN_TIME_MS,all,19678.4,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
