Profile Summary
Generated on: 2022-01-16 17:29:11
Msec since Epoch: 1642372151477
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20444,516.903,0.008604,0.0252839,3.10732,
clCreateCommandQueue,1,0.009317,0.009317,0.009317,0.009317,
clCreateContext,1,45.0901,45.0901,45.0901,45.0901,
clCreateKernel,1,26.9228,26.9228,26.9228,26.9228,
clCreateProgramWithBinary,1,267.471,267.471,267.471,267.471,
clEnqueueMigrateMemObjects,4087,33.7142,0.002492,0.00824914,0.04803,
clEnqueueTask,4087,284.022,0.024929,0.069494,20.7255,
clFinish,4087,4125,0.62723,1.0093,4.58871,
clGetDeviceIDs,5,0.068542,0.000834,0.0137084,0.057216,
clGetDeviceInfo,2,17.8455,0.002898,8.92277,17.8426,
clGetExtensionFunctionAddress,2,0.030486,0.002745,0.015243,0.027741,
clGetExtensionFunctionAddressForPlatform,2,0.009455,0.00116,0.0047275,0.008295,
clGetPlatformInfo,6,0.014386,0.00055,0.00239767,0.009323,
clReleaseCommandQueue,1,0.006673,0.006673,0.006673,0.006673,
clReleaseContext,1,71.3113,71.3113,71.3113,71.3113,
clReleaseDevice,5,0.013278,0.001183,0.0026556,0.004485,
clReleaseKernel,1,2.82475,2.82475,2.82475,2.82475,
clReleaseMemObject,28618,65.2976,0.000656,0.0022817,0.273883,
clReleaseProgram,1,0.004214,0.004214,0.004214,0.004214,
clRetainDevice,5,0.017466,0.000873,0.0034932,0.007505,
clRetainMemObject,8174,22.5006,0.000684,0.0027527,0.158817,
clSetKernelArg,20444,164.53,0.000859,0.00804786,7.33898,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,4087,3075.25,0.433291,0.752446,2.49454,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,837.037,2.49454,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5180.52,1.5286,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6031.87,1.49015,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6448.57,1.48519,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5705.54,1.48178,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4497.23,1.46714,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2831.72,1.44495,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,8100.8,1.44483,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,12737.8,1.44134,1:1:1,1:1:1,
94162789907888,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6472.15,1.43511,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
974848,0,0,10759.1,3.84253,17.216,66.153,
946176,0,0,6817.48,3.16406,17.216,54.4725,
974848,0,0,8962.57,0.366687,17.216,6.31288,
974848,0,0,12549.4,0.356643,17.216,6.13997,
917504,0,0,836.652,0.335341,918.84,308.125,
974848,0,0,9394.91,0.216374,17.216,3.72509,
946176,0,0,10756.2,0.21457,17.216,3.69404,
946176,0,0,2657.15,0.211917,17.216,3.64836,
946176,0,0,9240.5,0.208539,17.216,3.59021,
974848,0,0,2835.11,0.20847,17.216,3.58902,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,6271.7,0.48269,0.004,0.00193076,
946176,0,0,2684.18,0.274463,0.004,0.00109785,
946176,0,0,7165.19,0.153693,0.004,0.000614772,
946176,0,0,3384.15,0.151903,0.004,0.000607612,
946176,0,0,4585.01,0.151336,0.004,0.000605344,
946176,0,0,4705.81,0.149523,0.004,0.000598092,
946176,0,0,4694.43,0.149387,0.004,0.000597548,
974848,0,0,6061.24,0.149357,0.004,0.000597428,
946176,0,0,3333.74,0.148833,0.004,0.000595332,
946176,0,0,4621.26,0.147507,0.004,0.000590028,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4087,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94162789911488,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,275.988,
BUFFER_WR_ACTIVE_TIME_MS,all,605.599,
BUFFER_TX_ACTIVE_TIME_MS,all,12114.9,
APPLICATION_RUN_TIME_MS,all,13587.3,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
