Profile Summary
Generated on: 2022-01-16 12:52:55
Msec since Epoch: 1642355575684
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20569,608.34,0.009923,0.0295756,2.45251,
clCreateCommandQueue,1,0.011819,0.011819,0.011819,0.011819,
clCreateContext,1,45.6954,45.6954,45.6954,45.6954,
clCreateKernel,1,23.4708,23.4708,23.4708,23.4708,
clCreateProgramWithBinary,1,239.851,239.851,239.851,239.851,
clEnqueueMigrateMemObjects,4112,35.5428,0.003504,0.00864368,0.042253,
clEnqueueTask,4112,316.996,0.039543,0.0770905,19.8249,
clFinish,4112,3854.97,0.547178,0.937493,2.7702,
clGetDeviceIDs,5,0.100507,0.001774,0.0201014,0.080173,
clGetDeviceInfo,2,16.3978,0.002366,8.19889,16.3954,
clGetExtensionFunctionAddress,2,0.04376,0.00637,0.02188,0.03739,
clGetExtensionFunctionAddressForPlatform,2,0.015713,0.002663,0.0078565,0.01305,
clGetPlatformInfo,6,0.019961,0.00128,0.00332683,0.010724,
clReleaseCommandQueue,1,0.007163,0.007163,0.007163,0.007163,
clReleaseContext,1,62.2639,62.2639,62.2639,62.2639,
clReleaseDevice,5,0.012879,0.000857,0.0025758,0.004483,
clReleaseKernel,1,3.94831,3.94831,3.94831,3.94831,
clReleaseMemObject,28793,70.8472,0.000804,0.00246057,0.338037,
clReleaseProgram,1,0.003934,0.003934,0.003934,0.003934,
clRetainDevice,5,0.020198,0.001435,0.0040396,0.008334,
clRetainMemObject,8224,26.26,0.000998,0.0031931,0.185147,
clSetKernelArg,20569,204.969,0.000695,0.00996495,4.53421,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,4112,2668.61,0.340017,0.648982,2.46108,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3716.22,2.46108,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,778.25,2.30152,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1663.39,1.82459,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3156.41,1.80042,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3719.99,1.79261,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4132.95,1.67856,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6506.15,1.65028,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,8064.29,1.61077,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5875.67,1.58559,1:1:1,1:1:1,
94785357585840,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4800.02,1.56692,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
974848,0,0,7297.74,0.442487,17.216,7.61786,
917504,0,0,777.859,0.355008,918.84,326.196,
946176,0,0,6937.17,0.286137,17.216,4.92613,
946176,0,0,6330.75,0.217627,17.216,3.74667,
946176,0,0,8346.55,0.210617,17.216,3.62598,
946176,0,0,4924.93,0.210264,17.216,3.61991,
974848,0,0,6148.94,0.207807,17.216,3.57761,
946176,0,0,4286.93,0.205861,17.216,3.5441,
946176,0,0,4311.01,0.205767,17.216,3.54248,
974848,0,0,6770.31,0.205171,17.216,3.53222,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,3714.68,0.331585,0.004,0.00132634,
974848,0,0,4607.83,0.325334,0.004,0.00130134,
974848,0,0,2353.21,0.165774,0.004,0.000663096,
946176,0,0,2233.17,0.15027,0.004,0.00060108,
974848,0,0,2815.02,0.149181,0.004,0.000596724,
946176,0,0,2067.7,0.145234,0.004,0.000580936,
974848,0,0,7310.48,0.14317,0.004,0.00057268,
974848,0,0,4302,0.142074,0.004,0.000568296,
946176,0,0,5539.16,0.141867,0.004,0.000567468,
946176,0,0,6303.58,0.141408,0.004,0.000565632,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4112,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94785357589440,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,345.373,
BUFFER_WR_ACTIVE_TIME_MS,all,593.675,
BUFFER_TX_ACTIVE_TIME_MS,all,8004.88,
APPLICATION_RUN_TIME_MS,all,10796.4,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
