Profile Summary
Generated on: 2022-01-17 14:11:19
Msec since Epoch: 1642446679644
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices:
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,175098,5623.44,0.009971,0.0321159,4.92775,
clCreateCommandQueue,1,0.01201,0.01201,0.01201,0.01201,
clCreateContext,1,45.536,45.536,45.536,45.536,
clCreateKernel,1,11.7837,11.7837,11.7837,11.7837,
clCreateProgramWithBinary,1,128.434,128.434,128.434,128.434,
clEnqueueMigrateMemObjects,43773,375.293,0.002588,0.00857362,0.153972,
clEnqueueTask,43773,3238.08,0.0275,0.0739745,21.9449,
clFinish,43773,60503.3,0.410754,1.38221,25.2579,
clGetDeviceIDs,5,0.105595,0.001873,0.021119,0.086857,
clGetDeviceInfo,2,15.7642,0.003429,7.88209,15.7607,
clGetExtensionFunctionAddress,2,0.036381,0.006364,0.0181905,0.030017,
clGetExtensionFunctionAddressForPlatform,2,0.01593,0.002517,0.007965,0.013413,
clGetPlatformInfo,6,0.02032,0.00125,0.00338667,0.01113,
clReleaseCommandQueue,1,0.008473,0.008473,0.008473,0.008473,
clReleaseContext,1,50.1535,50.1535,50.1535,50.1535,
clReleaseDevice,5,0.019852,0.001182,0.0039704,0.008527,
clReleaseKernel,1,2.92269,2.92269,2.92269,2.92269,
clReleaseMemObject,262644,711.223,0.000757,0.00270793,10.8243,
clReleaseProgram,1,0.004367,0.004367,0.004367,0.004367,
clRetainDevice,5,0.016794,0.000885,0.0033588,0.009337,
clRetainMemObject,87546,276.82,0.000761,0.00316199,1.03483,
clSetKernelArg,175098,1917.86,0.000991,0.010953,9.81983,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GAT_compute_one_graph,43773,46987.8,0.281266,1.07344,24.9285,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,88519.4,24.9285,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,58214.8,23.4812,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,148891,21.555,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,158336,21.1917,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,122766,20.5802,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,51756.8,19.3725,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,117104,18.7445,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,108567,18.6862,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,53615.6,17.0137,1:1:1,1:1:1,
93851336718288,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,158361,16.9796,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
196608,0,0,115022,5.39978,11.216,60.5639,
217088,0,0,105697,3.77514,11.216,42.3419,
196608,0,0,112293,3.72812,11.216,41.8146,
196608,0,0,141007,3.72785,11.216,41.8116,
196608,0,0,37909.7,2.17501,11.216,24.395,
196608,0,0,11546.8,0.512976,11.216,5.75354,
217088,0,0,25893.6,0.436599,11.216,4.89689,
217088,0,0,16030,0.416986,11.216,4.67691,
196608,0,0,68043.2,0.397724,11.216,4.46087,
196608,0,0,152344,0.385456,11.216,4.32327,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
217088,0,0,64388.8,3.77738,0.004,0.0151095,
196608,0,0,42757.4,3.38071,0.004,0.0135229,
217088,0,0,75002.5,2.40077,0.004,0.00960308,
196608,0,0,142834,0.925255,0.004,0.00370102,
217088,0,0,112114,0.583189,0.004,0.00233276,
196608,0,0,54592.3,0.41557,0.004,0.00166228,
217088,0,0,98531.3,0.39802,0.004,0.00159208,
196608,0,0,9713.48,0.382349,0.004,0.0015294,
217088,0,0,162211,0.371956,0.004,0.00148782,
196608,0,0,37551.4,0.36968,0.004,0.00147872,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,43773,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GAT_compute_one_graph,1,
COMMAND_QUEUE_OOO,93851336618880,0,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|task_tb|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|gat_net_scoring_fn_target_fixed|HBM[0]|1,1280,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|gat_net_scoring_fn_source_fixed|HBM[0]|1,1280,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|gat_net_linear_proj_weight_fixed|HBM[0]|1,81920,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|gat_net_skip_proj_weight_fixed|HBM[0]|1,81920,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,4191.65,
BUFFER_WR_ACTIVE_TIME_MS,all,6575.25,
BUFFER_TX_ACTIVE_TIME_MS,all,167468,
APPLICATION_RUN_TIME_MS,all,186287,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
