Profile Summary
Generated on: 2022-01-16 12:46:40
Msec since Epoch: 1642355200022
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,218876,6765.57,0.00909,0.0309105,4.28332,
clCreateCommandQueue,1,0.009286,0.009286,0.009286,0.009286,
clCreateContext,1,39.9609,39.9609,39.9609,39.9609,
clCreateKernel,1,6.42193,6.42193,6.42193,6.42193,
clCreateProgramWithBinary,1,103.938,103.938,103.938,103.938,
clEnqueueMigrateMemObjects,43773,393.39,0.003701,0.00898705,0.506992,
clEnqueueTask,43773,3455.29,0.034688,0.0789365,19.1042,
clFinish,43773,92099.2,0.002756,2.10402,16.4416,
clGetDeviceIDs,5,0.0895,0.001517,0.0179,0.073187,
clGetDeviceInfo,2,14.3822,0.00256,7.1911,14.3796,
clGetExtensionFunctionAddress,2,0.04432,0.01045,0.02216,0.03387,
clGetExtensionFunctionAddressForPlatform,2,0.015074,0.002534,0.007537,0.01254,
clGetPlatformInfo,6,0.016434,0.001313,0.002739,0.008,
clReleaseCommandQueue,1,0.007724,0.007724,0.007724,0.007724,
clReleaseContext,1,70.7554,70.7554,70.7554,70.7554,
clReleaseDevice,5,0.014001,0.00113,0.0028002,0.004254,
clReleaseKernel,1,4.33095,4.33095,4.33095,4.33095,
clReleaseMemObject,306422,766.533,0.000841,0.00250156,6.45743,
clReleaseProgram,1,0.002483,0.002483,0.002483,0.002483,
clRetainDevice,5,0.014099,0.000798,0.0028198,0.007431,
clRetainMemObject,87546,265.938,0.000907,0.0030377,1.88458,
clSetKernelArg,218876,1999.55,0.000922,0.00913554,12.3104,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GCN_compute_one_graph,43773,80354.3,0.642682,1.8357,13.0417,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,142951,13.0417,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,132949,11.8111,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,89182.3,11.5189,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,88843.2,10.8469,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,87843.1,10.8189,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,444.286,10.2773,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,106427,9.93733,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,70241.9,9.77162,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,87800.4,9.59062,1:1:1,1:1:1,
94876161688240,GCN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,176260,9.36963,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
356352,0,0,88815.6,14.1895,17.216,244.286,
356352,0,0,88571.7,14.1223,17.216,243.13,
385024,0,0,88996.9,12.9173,17.216,222.384,
385024,0,0,89937.9,12.008,17.216,206.73,
385024,0,0,88342.2,11.5845,17.216,199.438,
356352,0,0,88462.6,11.184,17.216,192.543,
385024,0,0,87630.8,11.1105,17.216,191.279,
385024,0,0,112952,10.9871,17.216,189.154,
385024,0,0,148863,10.9702,17.216,188.862,
385024,0,0,88651,10.8874,17.216,187.438,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
356352,0,0,89501.7,12.1814,0.004,0.0487257,
385024,0,0,87653.9,11.9097,0.004,0.0476389,
356352,0,0,62953.4,9.20458,0.004,0.0368183,
385024,0,0,32953.9,8.88031,0.004,0.0355213,
385024,0,0,22953.6,8.81222,0.004,0.0352489,
385024,0,0,87741.5,8.4592,0.004,0.0338368,
385024,0,0,87514.6,7.32521,0.004,0.0293008,
356352,0,0,16443,6.76231,0.004,0.0270493,
356352,0,0,88859.5,6.45672,0.004,0.0258269,
356352,0,0,87690.8,3.02625,0.004,0.012105,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,43773,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GCN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94876161688000,0,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|convs_weight_in|HBM[0]|1,200000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|convs_bias_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|convs_root_emb_weight_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|bn_weigh_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|bn_bias_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|bn_mean_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|bn_var_in|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|node_embedding_weight_in|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|edge_embedding_weight_in|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|graph_pred_weights_in|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GCN_compute_one_graph|graph_pred_bias_in|HBM[0]|1,4,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,3804.44,
BUFFER_WR_ACTIVE_TIME_MS,all,6847.81,
BUFFER_TX_ACTIVE_TIME_MS,all,198710,
APPLICATION_RUN_TIME_MS,all,219549,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
