Profile Summary
Generated on: 2022-01-16 17:27:20
Msec since Epoch: 1642372040462
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,218429,6156.19,0.008288,0.028184,4.01816,
clCreateCommandQueue,1,0.00696,0.00696,0.00696,0.00696,
clCreateContext,1,41.6195,41.6195,41.6195,41.6195,
clCreateKernel,1,30.0557,30.0557,30.0557,30.0557,
clCreateProgramWithBinary,1,2710.93,2710.93,2710.93,2710.93,
clEnqueueMigrateMemObjects,43684,429.164,0.003256,0.00982429,0.543756,
clEnqueueTask,43684,3358.37,0.031322,0.0768787,47.6831,
clFinish,43684,45141,0.002441,1.03335,9.3321,
clGetDeviceIDs,5,0.079141,0.001252,0.0158282,0.065668,
clGetDeviceInfo,2,17.3597,0.00312,8.67985,17.3566,
clGetExtensionFunctionAddress,2,0.032763,0.003996,0.0163815,0.028767,
clGetExtensionFunctionAddressForPlatform,2,0.011686,0.001609,0.005843,0.010077,
clGetPlatformInfo,6,0.011726,0.000816,0.00195433,0.00553,
clReleaseCommandQueue,1,0.00714,0.00714,0.00714,0.00714,
clReleaseContext,1,68.2865,68.2865,68.2865,68.2865,
clReleaseDevice,5,0.013543,0.001225,0.0027086,0.004374,
clReleaseKernel,1,2.88813,2.88813,2.88813,2.88813,
clReleaseMemObject,305797,774.833,0.000749,0.00253381,8.26185,
clReleaseProgram,1,0.00385,0.00385,0.00385,0.00385,
clRetainDevice,5,0.014283,0.00134,0.0028566,0.006863,
clRetainMemObject,87368,272.974,0.000822,0.00312442,1.86861,
clSetKernelArg,218429,2086.05,0.00083,0.00955023,8.22097,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,43684,33320.4,0.403203,0.762761,2.50343,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3479.72,2.50343,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,123803,1.52284,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,86721,1.5179,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,103067,1.51181,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,66667.3,1.50459,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,125506,1.49512,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,61819,1.47911,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,68983.3,1.47415,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,128076,1.46895,1:1:1,1:1:1,
94414476889024,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,38951.7,1.46419,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
974848,0,0,38200.2,8.23562,17.216,141.784,
946176,0,0,13073.6,6.85224,17.216,117.968,
946176,0,0,80409.2,3.81281,17.216,65.6413,
946176,0,0,24772.2,3.60432,17.216,62.052,
946176,0,0,104934,2.6146,17.216,45.0129,
974848,0,0,24974.1,2.46757,17.216,42.4817,
946176,0,0,118977,2.1494,17.216,37.004,
946176,0,0,17691.5,1.9614,17.216,33.7675,
946176,0,0,45018.6,1.80608,17.216,31.0936,
974848,0,0,15280.5,1.80259,17.216,31.0334,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,131376,8.48961,0.004,0.0339584,
974848,0,0,83565.3,7.13248,0.004,0.0285299,
974848,0,0,121012,4.86688,0.004,0.0194675,
946176,0,0,20115.3,3.5987,0.004,0.0143948,
974848,0,0,20323.6,3.13908,0.004,0.0125563,
974848,0,0,86212.8,1.47437,0.004,0.0058975,
946176,0,0,103353,1.45136,0.004,0.00580546,
946176,0,0,110052,0.927911,0.004,0.00371164,
946176,0,0,44233.9,0.484571,0.004,0.00193828,
974848,0,0,140201,0.48041,0.004,0.00192164,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,43684,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94414476892624,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,3437.7,
BUFFER_WR_ACTIVE_TIME_MS,all,6617.19,
BUFFER_TX_ACTIVE_TIME_MS,all,150050,
APPLICATION_RUN_TIME_MS,all,161484,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
