Profile Summary
Generated on: 2022-01-16 11:38:39
Msec since Epoch: 1642351119395
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,218874,5846.75,0.007991,0.0267129,4.24536,
clCreateCommandQueue,1,0.009573,0.009573,0.009573,0.009573,
clCreateContext,1,46.2015,46.2015,46.2015,46.2015,
clCreateKernel,1,28.0659,28.0659,28.0659,28.0659,
clCreateProgramWithBinary,1,264.353,264.353,264.353,264.353,
clEnqueueMigrateMemObjects,43773,351.932,0.002322,0.00803993,0.554517,
clEnqueueTask,43773,3003.87,0.024998,0.0686238,21.5642,
clFinish,43773,43040.3,0.001996,0.983261,13.2255,
clGetDeviceIDs,5,0.066716,0.000924,0.0133432,0.0539,
clGetDeviceInfo,2,16.7924,0.002701,8.39618,16.7897,
clGetExtensionFunctionAddress,2,0.026945,0.003187,0.0134725,0.023758,
clGetExtensionFunctionAddressForPlatform,2,0.009483,0.001315,0.0047415,0.008168,
clGetPlatformInfo,6,0.018231,0.000664,0.0030385,0.011983,
clReleaseCommandQueue,1,0.007216,0.007216,0.007216,0.007216,
clReleaseContext,1,49.2053,49.2053,49.2053,49.2053,
clReleaseDevice,5,0.013628,0.001062,0.0027256,0.004415,
clReleaseKernel,1,3.44626,3.44626,3.44626,3.44626,
clReleaseMemObject,306420,720.798,0.000644,0.00235232,6.92218,
clReleaseProgram,1,0.004254,0.004254,0.004254,0.004254,
clRetainDevice,5,0.016619,0.001073,0.0033238,0.007496,
clRetainMemObject,87546,245.688,0.000634,0.00280638,3.07702,
clSetKernelArg,218874,2007.53,0.000851,0.00917209,7.53126,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,43773,30476.2,0.334663,0.696233,6.86776,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,34992.9,6.86776,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,59932.3,2.51994,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,877.72,2.50333,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,90394.4,2.4556,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,153542,2.40629,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,163705,2.2847,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,53586.6,2.23333,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,124804,2.21061,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,55707.3,2.16415,1:1:1,1:1:1,
94539844050352,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,118768,2.16031,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
946176,0,0,155510,9.88873,17.216,170.244,
974848,0,0,74184.8,9.55973,17.216,164.58,
974848,0,0,145510,8.61979,17.216,148.398,
974848,0,0,165512,7.96364,17.216,137.102,
946176,0,0,34986.7,6.16866,17.216,106.2,
946176,0,0,135512,6.0813,17.216,104.696,
974848,0,0,142402,3.69499,17.216,63.613,
974848,0,0,80920,2.67365,17.216,46.0295,
974848,0,0,161928,1.94361,17.216,33.4611,
946176,0,0,106902,1.88824,17.216,32.5079,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,125499,11.7648,0.004,0.0470591,
974848,0,0,119265,8.90683,0.004,0.0356273,
974848,0,0,142065,5.5095,0.004,0.022038,
946176,0,0,77647.6,1.71565,0.004,0.00686259,
974848,0,0,159705,0.466034,0.004,0.00186414,
946176,0,0,139404,0.461381,0.004,0.00184552,
946176,0,0,168665,0.459873,0.004,0.00183949,
974848,0,0,61135.7,0.376743,0.004,0.00150697,
974848,0,0,101458,0.358171,0.004,0.00143268,
946176,0,0,148952,0.349924,0.004,0.0013997,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,43773,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94539844053952,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,3589.93,
BUFFER_WR_ACTIVE_TIME_MS,all,6721.01,
BUFFER_TX_ACTIVE_TIME_MS,all,173036,
APPLICATION_RUN_TIME_MS,all,181378,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
